Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Datetime,,,,,
2025-05-12 09:30:00-04:00,444.92999267578125,446.0400085449219,444.7366943359375,444.92999267578125,1349579
2025-05-12 09:31:00-04:00,444.2300109863281,445.6499938964844,444.0365905761719,444.82000732421875,134570
2025-05-12 09:32:00-04:00,443.989990234375,444.3999938964844,443.2749938964844,444.19000244140625,131604
2025-05-12 09:33:00-04:00,443.0350036621094,444.1000061035156,442.82000732421875,443.9599914550781,126664
2025-05-12 09:34:00-04:00,442.3599853515625,443.25,442.0899963378906,443.04998779296875,140682
2025-05-12 09:35:00-04:00,442.5199890136719,442.5914001464844,441.9200134277344,442.3599853515625,111289
2025-05-12 09:36:00-04:00,440.79998779296875,442.6600036621094,440.79998779296875,442.4446105957031,111949
2025-05-12 09:37:00-04:00,441.1650085449219,441.239990234375,440.55999755859375,440.79998779296875,153797
2025-05-12 09:38:00-04:00,441.48199462890625,441.82000732421875,441.0,441.0849914550781,138238
2025-05-12 09:39:00-04:00,442.1700134277344,442.2449951171875,441.3399963378906,441.55999755859375,88449
2025-05-12 09:40:00-04:00,442.07000732421875,442.4700012207031,441.760009765625,442.2200012207031,129142
2025-05-12 09:41:00-04:00,441.864990234375,442.20001220703125,441.6549987792969,442.0799865722656,111250
2025-05-12 09:42:00-04:00,441.6000061035156,441.9200134277344,441.44000244140625,441.75,116099
2025-05-12 09:43:00-04:00,441.8550109863281,442.2200012207031,441.5000915527344,441.6199951171875,58512
2025-05-12 09:44:00-04:00,441.5849914550781,441.885009765625,441.30999755859375,441.78009033203125,53906
2025-05-12 09:45:00-04:00,441.6700134277344,442.0799865722656,441.5000915527344,441.5899963378906,81327
2025-05-12 09:46:00-04:00,441.1050109863281,441.80999755859375,441.0299987792969,441.7049865722656,141644
2025-05-12 09:47:00-04:00,441.17498779296875,441.4599914550781,440.8599853515625,441.1600036621094,104702
2025-05-12 09:48:00-04:00,441.4635009765625,441.6499938964844,441.0,441.17498779296875,84320
2025-05-12 09:49:00-04:00,441.5360107421875,441.875,441.40008544921875,441.4599914550781,137846
2025-05-12 09:50:00-04:00,441.2250061035156,441.8399963378906,441.0899963378906,441.5400085449219,77842
2025-05-12 09:51:00-04:00,441.06500244140625,441.30999755859375,440.9100036621094,441.2300109863281,90147
2025-05-12 09:52:00-04:00,440.55499267578125,441.1000061035156,440.41009521484375,441.06500244140625,145312
2025-05-12 09:53:00-04:00,440.8800048828125,440.9800109863281,440.5600891113281,440.5899963378906,77680
2025-05-12 09:54:00-04:00,441.5152893066406,441.9100036621094,440.9375,440.95001220703125,244752
2025-05-12 09:55:00-04:00,440.64459228515625,441.6650085449219,440.17999267578125,441.4549865722656,124067
2025-05-12 09:56:00-04:00,440.875,441.04730224609375,440.6145935058594,440.6650085449219,39209
2025-05-12 09:57:00-04:00,441.4200134277344,441.54998779296875,440.875,440.875,109399
2025-05-12 09:58:00-04:00,440.95001220703125,441.5,440.8420104980469,441.41448974609375,54645
2025-05-12 09:59:00-04:00,441.0799865722656,441.1600036621094,440.67498779296875,440.989990234375,72132
2025-05-12 10:00:00-04:00,440.68499755859375,441.239990234375,440.510009765625,441.0950012207031,79518
2025-05-12 10:01:00-04:00,440.5799865722656,440.7200012207031,440.29998779296875,440.6499938964844,50596
2025-05-12 10:02:00-04:00,440.3121032714844,440.6300048828125,439.7799987792969,440.5799865722656,123684
2025-05-12 10:03:00-04:00,440.18499755859375,440.5,440.0199890136719,440.239990234375,56565
2025-05-12 10:04:00-04:00,440.9399108886719,440.9399108886719,440.1654052734375,440.1700134277344,44912
2025-05-12 10:05:00-04:00,441.4549865722656,441.69000244140625,440.8699951171875,440.875,96056
2025-05-12 10:06:00-04:00,441.3349914550781,441.4549865722656,441.0799865722656,441.4549865722656,56128
2025-05-12 10:07:00-04:00,441.8800048828125,442.2699890136719,441.239990234375,441.3349914550781,145550
2025-05-12 10:08:00-04:00,441.7799987792969,441.989990234375,441.6700134277344,441.8500061035156,54220
2025-05-12 10:09:00-04:00,442.1294860839844,442.2799987792969,441.62420654296875,441.8500061035156,60408
2025-05-12 10:10:00-04:00,442.94000244140625,442.94000244140625,442.5801086425781,442.6400146484375,62664
2025-05-12 10:11:00-04:00,442.760009765625,443.25,442.69000244140625,442.94000244140625,89859
2025-05-12 10:12:00-04:00,443.17999267578125,443.29998779296875,442.70001220703125,442.82000732421875,63163
2025-05-12 10:13:00-04:00,443.82501220703125,443.8299865722656,443.20001220703125,443.2099914550781,60779
2025-05-12 10:14:00-04:00,444.0,444.1299133300781,443.7300109863281,443.7900085449219,86179
2025-05-12 10:15:00-04:00,443.8301086425781,444.29998779296875,443.7200012207031,444.0,51520
2025-05-12 10:16:00-04:00,443.6700134277344,444.15899658203125,443.6000061035156,443.95001220703125,61669
2025-05-12 10:17:00-04:00,443.7900085449219,443.8699951171875,443.5,443.6099853515625,55522
2025-05-12 10:18:00-04:00,444.0450134277344,444.2449951171875,443.7149963378906,443.8399963378906,61727
2025-05-12 10:19:00-04:00,443.32000732421875,444.0849914550781,443.2200012207031,444.0,38514
2025-05-12 10:20:00-04:00,442.94500732421875,443.4649963378906,442.9049987792969,443.32000732421875,48100
2025-05-12 10:21:00-04:00,443.45001220703125,443.6449890136719,442.89990234375,442.9100036621094,40564
2025-05-12 10:22:00-04:00,444.04998779296875,444.1300048828125,443.5,443.5075988769531,41335
2025-05-12 10:23:00-04:00,444.1700134277344,444.3586120605469,443.92999267578125,444.2300109863281,45425
2025-05-12 10:24:00-04:00,444.3299865722656,444.44000244140625,444.1650085449219,444.19500732421875,35350
2025-05-12 10:25:00-04:00,444.4100036621094,444.44989013671875,444.0299987792969,444.3800048828125,54093
2025-05-12 10:26:00-04:00,444.0400085449219,444.625,443.9700012207031,444.4200134277344,80661
2025-05-12 10:27:00-04:00,443.8500061035156,444.1199951171875,443.67999267578125,444.0050048828125,68358
2025-05-12 10:28:00-04:00,443.7099914550781,443.8599853515625,443.4154052734375,443.8299865722656,43587
2025-05-12 10:29:00-04:00,443.92999267578125,443.94000244140625,443.5,443.7550048828125,32323
2025-05-12 10:30:00-04:00,443.5,443.9718933105469,443.32000732421875,443.94000244140625,57061
2025-05-12 10:31:00-04:00,443.4100036621094,443.5899963378906,443.1708984375,443.4949951171875,99131
2025-05-12 10:32:00-04:00,443.79998779296875,443.79998779296875,443.1300048828125,443.42999267578125,72833
2025-05-12 10:33:00-04:00,443.614990234375,443.8982849121094,443.6000061035156,443.8599853515625,37528
2025-05-12 10:34:00-04:00,443.20001220703125,443.5950012207031,443.19000244140625,443.57000732421875,47170
2025-05-12 10:35:00-04:00,443.17999267578125,443.3299865722656,443.0299987792969,443.20489501953125,24497
2025-05-12 10:36:00-04:00,443.11529541015625,443.6000061035156,442.92999267578125,443.1199951171875,45059
2025-05-12 10:38:00-04:00,442.67498779296875,442.8999938964844,442.5899963378906,442.70001220703125,79865
2025-05-12 10:39:00-04:00,442.70001220703125,442.95001220703125,442.6400146484375,442.7200012207031,27643
2025-05-12 10:40:00-04:00,443.0899963378906,443.1099853515625,442.6700134277344,442.68499755859375,40281
2025-05-12 10:41:00-04:00,443.1050109863281,443.239990234375,443.0400085449219,443.07501220703125,32983
2025-05-12 10:42:00-04:00,443.2799987792969,443.4800109863281,443.1000061035156,443.1300048828125,35186
2025-05-12 10:43:00-04:00,443.25,443.45001220703125,443.25,443.3450012207031,21880
2025-05-12 10:44:00-04:00,443.40020751953125,443.4599914550781,443.1380920410156,443.29998779296875,28047
2025-05-12 10:45:00-04:00,443.55999755859375,443.635009765625,443.2749938964844,443.3900146484375,47025
